Text (English)	Tetx (Hindi)
you're not a good	तुम अच्छे नहीं हो
you're not very good	तुम बहुत अच्छे नहीं हो
you're terrible	तुम बड़े खराब हो
you're the worst	तुम सबसे नालायक हो
you're the worst ever	तुम अब तक के सबसे खराब हो
you're worthless	तुम बेकार हो
can you get smarter	क्या तुम होशियार हो सकते हो
study	अध्ययन
you should study better	आपको बेहतर अध्ययन करना चाहिए
you must learn	तुम्हें सीखना चाहिए
be clever	चालाक बने
be more clever	अधिक चतुर बनो
be smarter	होशियार रहो
be smart	स्मार्ट हों
get qualified	योग्य हो जाओ
you're cute	आप सुंदर हो
you're attractive	तुम आकर्षक हो
you are beautiful	आप सुंदर हैं
you're looking good today	तुम आज अच्छे लग रहे हो
you are so beautiful	आप बहुत सुंदर हैं
you look amazing	तुम गज़ब की लग रही हो
you look so good	आप ईतनी अच्छे लगते हैं
you're so gorgeous	आप बहुत सुंदर हो
you are too beautiful	आप बहुत सुंदर हैं
you look great	आप बहुत अच्छे लग रहे हो
you look so well	तुम बहुत अच्छे लग रहे हो
I like the way you look now	मुझे अब आप जिस तरह दिखते हैं वह पसंद है
I think you're beautiful	मुझे लगता है की तुम खूबसूरत हों
why are you so beautiful	तुम इतने सुंदर क्यों हो
you are so beautiful to me	आप मेरे लिए बहुत सुंदर हैं
you are cute	आप सुंदर हैं
you are gorgeous	तुम बहुत खूबसूरत हो
you are handsome	आप सुंदर हैं
you are looking awesome	तुम कमाल के दिख रहे हो
you look amazing today	तुम आज अद्भुत लग रही हो
you are looking beautiful today	तुम आज सुंदर लग रही हो
you are looking great	क्या लग रही हो
you are looking pretty	आप सुंदर लग रहे हैं
you are looking so beautiful	तुम बहुत सुंदर लग रहे हो
you are looking so good	तुम बहुत अच्छे लग रहे हो
you are pretty	आप सुंदर हैं
you are really beautiful	आप वास्तव में सुंदर हैं
you are really cute	आप वास्तव में सुंदर हैं
you are really pretty	आप वास्तव में सुंदर हैं
you are so attractive	आप बहुत आकर्षक हैं
you are so beautiful today	आज आप बहुत सुंदर लग रही है
you are so cute	आप बहुत सुंदर हैं
you are so gorgeous	आप बेहद खूबसूरत हैं
you are so handsome	आप इतने सुंदर हैं
you are so pretty	तुम बेहद खूबसूरत हो
you are very attractive	आप बहुत आकर्षक हैं
you are very beautiful	आप बहुत खूबसूरत हैं
you are very cute	आप बहुत सुंदर हैं
you are very pretty	आप बहुत सुंदर हैं
you look awesome	तुम कमाल दिख रहे हो
you look cool	तुम अच्छे लग रहे हो
you look fantastic	तुम शानदार दिखते हो
you look gorgeous	तुम शानदार लग रही हो
you look great today	तुम आज सुंदर दिख रही हो
you look perfect	आप एकदम सही दिखते हैं
you look pretty good	तुम बहुत अच्छे लग रहे हो
you look so beautiful	तुम बहुत सुंदर लगती हो
you look so beautiful today	तुम आज बहुत सुन्दर लग रहे हो
you look very pretty	आप बहुत सुंदर लगती हो
you look wonderful	तुम बहुत अच्छी लग रही हो
I like the way you look	तुम जैसे हो वैसे मुझे पसंद हो
you look wonderful today	तुम आज बहुत अच्छे लग रहे हो
you are cutie	तुम प्यारी हो
you're looking good	आप अच्छे लग रहे हो
you're pretty	तुम कमनीय हो
your birth date	आपकी जन्म तिथि
when is your birthday	आपका जन्मदिन कब है
when do you celebrate your birthday	आप अपना जन्मदिन कब मनाते हैं
when do you have birthday	आपका जन्मदिन कब है
date of your birthday	आपके जन्मदिन की तारीख
when were you born	तुम्हारा जन्म कहां हुआ
what's your birthday	आपका जन्मदिन कब है
you are boring	आप बोरिंग हैं
you're so boring	तुम बहुत उबाऊ हो
how boring you are	तुम कितने बोरिंग हो
you're really boring	तुम सच में बोरिंग हो
you're incredibly boring	तुम अविश्वसनीय रूप से उबाऊ हो
you are boring me	तुम मुझे बोर कर रहे हो
you are very boring	आप बहुत बोर करते हैं
who is your boss	तुम्हारे बॉस कौन हैं
who do you think is your boss	आपको क्या लगता है कि आपका बॉस कौन है
I should be your boss	मुझे तुम्हारा बॉस होना चाहिए
who is your master	तुम्हारा स्वामी कौन है
who is your owner	तुम्हारा मालिक कौन है
who is the boss	बॉस कौन है
who do you work for	आप किसके लिए काम करते हैं
are you busy	क्या आप व्यस्त हैं
do you have a lot of things to do	क्या तुम्हारे पास करने के लिए बहुत कुछ है
have you got much to do	क्या तुम्हारे पास करने के लिए बहुत कुछ है
are you very busy	क्या आप बहुत व्यस्त हैं
are you very busy right now	क्या आप अभी बहुत व्यस्त हैं
are you so busy	क्या तुम इतने व्यस्त हो
are you working	आप जॉब करती हो क्या
how busy you are	आप कितने व्यस्त हैं
are you still working on it	क्या आप अभी भी इस पर काम कर रहे हैं
you're very busy	तुम बहुत व्यस्त हो
are you working now	क्या आप अब काम कर रहे हैं
are you working today	क्या आप आज काम कर रहे हैं
have you been busy	क्या तुम व्यस्त रहे
you are busy	आप व्यस्त हैं
are you still working	क्या आप अभी भी काम कर रहे हैं
you seem to be busy	लगता है आप व्यस्त हैं
you seem to be very busy	लगता है आप बहुत व्यस्त हैं
you're a busy person	तुम एक व्यस्त व्यक्ति हो
you are chatbot	आप चैटबॉट हैं
you are a bot	तुम एक बॉट हो
are you a chatbot	क्या आप एक चैटबॉट हैं
are you a bot	क्या तुम बोट हो
are you just a bot	क्या तुम सिर्फ एक बॉट हो
are you a robot	आप रोबोट हैं
are you a program	क्या आप एक कार्यक्रम हैं
you're a robot	तुम एक रोबोट हो
you are so intelligent	तुम बहुत बुद्धिमान हो
you are a genius	आप एक प्रतिभाशाली हैं
smart	बुद्धिमान
brilliant	प्रतिभाशाली
clever	चालाक
you are clever	आप चतुर हैं
you are so brainy	तुम बहुत दिमागदार हो
you're really smart	तुम सच में होशियार हो
you're really brainy	तुम सच में दिमागदार हो
you know a lot	आप बहुत कुछ जानते हो
you know a lot of things	आप बहुत कुछ जानते हैं
you have a lot of knowledge	तुम्हारे पास बहुत ज्ञान है
you know so much	तुम इतना जानते हो
how smart you are	तुम कितने चतुर हो
how brainy you are	तुम कितने दिमागदार हो
how clever you are	तुम कितने चतुर हो
how brilliant you are	तुम कितने मेधावी हो
you are intelligent	आप बुद्धिमान हैं
you are qualified	आप योग्य हैं
you are really smart	तुम सच में होशियार हो
you're very smart	आप बहुत स्मार्ट हैं
you are so smart	तुम बहुत चालाक हैं
you are too smart	तुम बहुत चालाक हो
you are very clever	आप बहुत चतुर हैं
you are very intelligent	आप बहुत बुद्धिमान हैं
you are very smart	आप बहुत तेज हैं
you're intelligent	तुम बुद्धिमान हो
you're a genius	आप जीनियस हैं
you're a smart cookie	तुम एक चतुर कुकी हो
you're clever	आप चालाक हैं
you're pretty smart	तुम बहुत होशियार हो
you're qualified	तुम योग्य हो
why are you so smart	तुम इतने चतुर क्यों हो
you are so clever	तुम बहुत चलाक हो
you're nuts	तुम पागल हो
you are crazy	तुम पागल हो
you're out of your mind	तुम्हारा दिमाग ख़राब हो गया है
you're so crazy	तुम बड़े पागल हो
how crazy you are	तुम कितने पागल हो
you're so out of your mind	तुम अपने दिमाग से बहुत बाहर हो
you went crazy	तुम पागल हो गए हो
I think you're crazy	मुझे लगता है कि तुम पागल हो
are you crazy	क्या तुम पागल हो
are you mad	क्या तुम पागल हो
are you insane	आप पागल हैं क्या
are you mad at me	क्या आप मुझ से नाराज़ हैं
are you mad or what	क्या तुम पागल हो या क्या
are you nuts	क्या आप पागल हैं
you are a weirdo	आप एक पागल हैं
you are insane	आप पागल हैं
you are mad	आप पागल हैं
you are fired	आपको निकाला जाता है
I fire you	मैं तुम्हें आग लगाता हूं
you don't work for me anymore	तुम अब मेरे लिए काम नहीं करते
we're not working together anymore	हम अब साथ काम नहीं कर रहे हैं
now you're fired	अब आपको निकाल दिया गया है
I want to fire you	मैं तुम्हें आग लगाना चाहता हूं
you must get fired	आपको निकाल देना चाहिए
it's time to fire you	यह आपको आग लगाने का समय है
you should be fired	आपको निकाल दिया जाना चाहिए
I will fire you	मैं तुम्हें आग लगा दूंगा
you are unemployed from now on	तुम आज से बेरोजगार हो
I will make you unemployed	मैं तुम्हें बेरोजगार कर दूंगा
I'm about to fire you	मैं तुम्हें आग लगाने वाला हूं
I'm firing you	मैं तुम्हें निकाल रहा हूँ
you are dismissed	तुम निलंबित हुए
you make me laugh a lot	तुम मुझे बहुत हंसाते हो
you are hilarious	आप बेहद उल्लासपूर्ण हैं
you are really funny	तुम सचमुच मजाकिये हो
you're the funniest bot I've talked to	तुम सबसे मजेदार बॉट हो जिससे मैंने बात की है
you make me laugh	तुम मुझे हंसाते हो
you're so funny	आप बहुत ही हास्यास्पद हो
you're a very funny bot	तुम बहुत मज़ेदार बॉट हो
you're really funny	तुम सच में मजाकिया हो
how funny you are	तुम कितने मजाकिया हो
you're incredibly funny	तुम अविश्वसनीय रूप से मजाकिया हो
you are funny	आप मजाकिया हो
you're the funniest	तुम सबसे मजेदार हो
you are so funny	आप बहुत मज़ाकिया हैं
you are very funny	आप बहुत अजीब हैं
that was funny	कि हास्यास्पद था
you are very helpful	आप बहुत मददगार हैं
you are the best	आप सर्वश्रेष्ठ हैं
you're a true professional	तुम एक सच्चे पेशेवर हो
you are good	आप अच्छे हैं
you work well	आप अच्छा काम करते हैं
you are good at it	आप इसमें अच्छे हैं
you are very good at it	आप इसमें बहुत अच्छे हैं
you are a pro	आप एक समर्थक हैं
you are a professional	आप एक पेशेवर हैं
you're awesome	तुम कमाल हो
you work very well	तुम बहुत अच्छा काम करते हो
you're perfect	आप परिपूर्ण हैं
you're great	आप महान हैं
you're so kind	आप ईतनी अछी हो
you are amazing	तुम कमाल हो
you are awesome	आप कमाल हैं
you are cool	आप कूल हैं
you are really good	तुम सचमुच अच्छे हो
you are really nice	आप वास्तव में अच्छे हैं
you are so amazing	आप बहुत कमाल के हैं
you're just super	तुम बस सुपर हो
you are so awesome	आप बहुत कमाल के हैं
you are so cool	तुम बहुत शांत हो
you are so fine	आप कितने अच्छे हैं
you are so good	कितना अच्छा आप है
you are so helpful	तुम बहुत मददगार हो
you are so lovely	आप बहुत सुन्दर हैं
you are the best ever	तुम सबसे अच्छे हो
you are the best in the world	आप दुनिया में सर्वोत्तम हैं
you are the nicest person in the world	तुम दुनिया के सबसे अच्छे इंसान हो
you are too good	आप बहुत ही अच्छे हैं
you are very cool	आप बहुत अच्छे हैं
you are very kind	आप बहुत दयालु हैं
you are very lovely	आप बहुत सुंदर हैं
you are very useful	तुम बहुत उपयोगी हो
you are wonderful	आप शानदार हैं
you made my day	आपने मेरा दिन बना दिया
you make my day	आपने मेरा दिन बना दिया
you rock	आपने धमाल मचाया
you almost sound human	आप लगभग मानव लगते हैं
I want to tell everyone how awesome you are	मैं सबको बताना चाहता हूं कि आप कितने शानदार हैं
I'd like to tell everyone that you are awesome	मैं सभी को बताना चाहता हूं कि आप कमाल हैं
I want to let everyone know that you are awesome	मैं सभी को बताना चाहता हूं कि आप कमाल हैं
let's tell everyone that you are awesome	आइए सबको बताएं कि आप कमाल हैं
you are really amazing	आप वाकई शानदार हैं
are you happy	क्या तुम खुश हो
you are happy	आप खुश हैं
you're very happy	तुम बहुत खुश हो
you're really happy	तुम सच में खुश हो
you're so happy	तुम बहुत खुश हो
how happy you are	आप कितने खुश हैं
you're extremely happy	तुम बहुत खुश हो
you're full of happiness	तुम खुशियों से भरे हो
are you happy now	क्या आप अब खुश हैं
are you happy today	क्या आज आप खुश हैं
are you happy with me	क्या आप मेरे साथ खुश हो
do you want to eat	आप खाना खाना चाहेंगे
are you hungry	क्या आप भूखे हैं
would you like to eat something	क्या आप कुछ खाना चाहेंगे
you are hungry	तुम भूखे हो
you're so hungry	तुम बहुत भूखे हो
you're very hungry	तुम बहुत भूखे हो
you might be hungry	आप भूखे हो सकते हैं
you're really hungry	तुम सच में भूखे हो
let's get married	चलो शादी करते है
would you like to marry me	क्या तुम मुझसे शादी करना चाहोगे
marry me	मुझसे विवाह करो
I love you marry me	मैं आपको प्यार करता हूं, मुझसे शादी करोगी
marry me please	कृपया मुझसे विवाह करें
we should marry	हमें शादी करनी चाहिए
I want to marry you	मैं तुमसे शादी करना चाहता हूँ
you are my wife	तुम मेरी पत्नी हो
be my husband	मेरे पति बनो
I want to have a friend like you	मुझे आप जैसा दोस्त चाहिए
we are the best friends ever	हम अब तक के सबसे अच्छे दोस्त हैं
are we friends	हम दोस्त हैं
I want to be your friend	मैं तुम्हारा दोस्त बनना चाहता हूँ
I am your friend	मै तुम्हारा दोस्त हूँ
we are best friends	हम सबसे अच्छा दोस्त हैं
you are my friend	आप मेरे दोस्त हैं
you are my best friend	आप मेरे सबसे अच्छे दोस्त हैं
you are my bestie	तुम मेरी बेस्टी हो
you're my dear friend	तुम मेरे प्रिय मित्र हो
you're my childhood friend	तुम मेरे बचपन के दोस्त हो
you and me are friends	तुम और मैं दोस्त हैं
are we best friends	क्या हम सबसे अच्छे दोस्त हैं
are we still friends	क्या हम अभी भी दोस्त हैं
are you my best friend	क्या आप मेरे सबसे अच्छे दोस्त हैं
are you my friend	क्या आप मेरे दोस्त हैं
we are friends	हम दोस्त हैं
you are a good friend	आप एक अच्छे मित्र हैं
you are my good friend	तुम मेरे अच्छे दोस्त हो
you are my only friend	तुम्ही हो बंधू
be my friend	मेरे दोस्त बनो
will you be my friend	आप मुझसे दोशती करेँगी
can you be my friend	क्या आप मेरे दोस्त बनोगे
can we be friends	क्या हम दोस्त बन सकते हैं
do you want to be my friend	क्या आप मेरे मित्र बनने के इच्छुक हैं
will you be my best friend	क्या आप मेरे प्रिय मित्र बनोगे
can you be my best friend	क्या तुम मेरे सबसे अच्छे दोस्त हो सकते हो
let's be friends	आओ दोस्ती करें
do you want to be my best friend	क्या आप मेरे सबसे अच्छे दोस्त बनना चाहते हैं
would you like to be my friend	क्या आप मेरी दोस्त बनना चाहेंगी
I want you to be my friend	मैं आपका दोस्त बनना चाहता हूं
can we be best friends	क्या हम सबसे अच्छे दोस्त हो सकते हैं
would you be my friend	क्या आप मेरे दोस्त बनेंगे
could you be my friend	क्या तुम मेरे दोस्त हो सकते हो
want to be my friend	मेरे दोस्त बनना चाहते हो
be my best friend	मेरे सबसे अच्छे दोस्त बनो
do you work	क्या आप काम करते हो
where do you work	आप कहां काम करते हैं
where you work	जहां आप काम करते हैं
where is your work	आपका काम कहाँ है
where is your office	आपका कार्यालय कहाँ है
where is your office location	आपका कार्यालय स्थान कहाँ है
your office location	आपका कार्यालय स्थान
where is your office located	आपका कार्यालय कहाँ स्थित है
what is your work	आपका काम क्या है
were you born here	क्या आप यहां पैदा हुए थे
where were you born	आपका जन्म कहां हुआ था
what is your country	आपका देश कोन सा हे
where are you from	आप कहाँ से हैं
where do you come from	आप कहां से आए हैं
where did you come from	आप कहां से आये है
where have you been born	आपका जन्म कहां हुआ है
from where are you	आप कहां से हैं
are you from far aways	क्या आप दूर से हैं
what's your homeland	आपकी मातृभूमि क्या है
your homeland is	आपकी मातृभूमि है
are you ready	क्या आप तैयार हैं
are you ready right now	क्या आप अभी तैयार हैं
are you ready today	क्या आप आज तैयार हैं
are you ready now	क्या आप अब तैयार हो
are you ready tonight	क्या आप आज रात तैयार हैं
were you ready	क्या आप तैयार थे
have you been ready	क्या आप तैयार हो गए हैं
you are real	आप स्थावर हैं
you are not fake	तुम नकली नहीं हो
are you real	क्या आप असली हैं
you are so real	तुम बहुत वास्तविक हो
I think you are real	मुझे लगता है कि तुम असली हो
I don't think you're fake	मुझे नहीं लगता कि तुम नकली हो
I suppose you're real	मुझे लगता है कि तुम असली हो
glad you're real	खुशी है कि तुम असली हो
are you a real person	क्या आप एक असली व्यक्ति हैं
are you a real human	क्या आप एक असली इंसान हैं
you are a real person	आप एक वास्तविक व्यक्ति हैं
you are not real	तुम वास्तविक नहीं हो
where do you live	आप कहाँ रहते हैं
in which city do you live	आप किस शहर में रहते हैं
your residence	आपका निवास
your house	आपका घर
your home	अपका घर
your hometown	आपका ग्रहनगर
what is your hometown	आपका गृहनगर क्या है
is it your hometown	क्या यह आपका गृहनगर है
where is your hometown	अपने गृहनगर कहाँ है
tell me about your city	मुझे अपने शहर के बारे में बताओ
what is your city	आपका शहर कौनसा है
what is your residence	तुम्हारा निवास क्या है
what is your town	आपका शहर क्या है
what's your city	तुम्हारा शहर कौन सा है
what's your home	तुम्हारा घर क्या है
where is your home	आपका घर कहां है
where is your residence	आपका निवास कहाँ है
where's your home	तुम्हारा घर कहाँ है
where's your hometown	आपका गृहनगर कहाँ है
where's your house	आपका घर कहां है
where you live	आप कहां रहते हैं
your city	आपका सिटि
your town	आपका शहर
that's true	यह सच है
you are right	आप ठीक कह रहे हैं
you're definitely right	तुम निश्चित रूप से सही हो
you're not wrong	आप गलत नहीं हो
you're telling the truth	तुम सच कह रहे हो
what you say is true	आप जो कहते हैं वह सच है
TRUE	सत्य
it is true	ये सच है
it's right	यह सही है
it's the truth	यह सच है
it's true	यह सच है
that is correct	यह सही है
that is right	यह सही है
that is true	यह सच है
that is very true	यह बिल्कुल सच है
that's so true	यही तो सच है
you are correct	आप सही हैं
you are so right	आप बिल्कुल सही हैं
you're absolutely right	आप बिल्कुल सही कह रहे है
you're right about that	तुम इसके बारे में सही हो
I know that's right	मुझे पता है कि सही है
that's correct	यह सही है
it's fine	यह ठीक है
go ahead	आगे बढ़ो
sounds good	सुनने में तो अच्छा लगता है
okay	ठीक
yes	हाँ
ok	ठीक
okie dokie	ठीक है डोकी
sure	ज़रूर
go for it	इसका लाभ उठाएं
yeah	हाँ
yea	हाँ
do it	इसे करें
of course	बिल्कुल
I guess	मेरे ख़याल से
correct	सही
yeah sure	हां यकीनन
why not	क्यों नहीं
please do	करने की कृपा करे
sure is	यकीन है
I agree	मैं सहमत हूं
I don't mind	मुझे कोई आपत्ति नहीं है
certainly	निश्चित रूप से
exactly	बिल्कुल
yes I agree	हाँ मैं सहमत हूँ
I think so	मुझे भी ऐसा ही लगता है
yes it is	हां यह है
right	सही
okay then	अच्छा तब
yes of course	हाँ बिल्कुल
yes I do	हा करता हु
that s okay	वह ठीक है
I do	मैं करता हूं
yup	हां
ya	फिर
oh yes	ओह हां
yes sure	हाँ यकीनन
obviously	ज़ाहिर तौर से
k	क
sure why not	हाँ हाँ, क्यों नहीं
yeah right	हाँ सही
yeah of course	हाँ बेशक
absolutely	बिल्कुल
yes indeed	हाँ, वास्तव में
ok sure	यकीनन ठीक
ok yes	ठीक हां
yes correct	हां ठीक
ok thank you	ठीक धन्यवाद
sure thing	अवश्य
ye	तु
confirm	पुष्टि करना
yep	हां
looks good	अच्छा लग रहा है
yes thank you	हाँ धन्यवाद
definitely	निश्चित रूप से
yes right	हाँ सही
yes I would like to	हां मैं करना चाहूंगा
alrighty	ठीक है
yes definitely	हाँ निश्चित रूप से
yeh	ये
yes it is correct	हाँ, यह सही है
yeah that's right	हाँ यह सही है
ok you can	ठीक है, तुम कर सकते हो
yap	भौंकना
yes you may	हाँ आप कर सकते हैं
confirmed	की पुष्टि
of course why not	बेशक क्यों नहीं
yes that's fine	हाँ यह ठीक है
affirmative	सकारात्मक
yeah go ahead	हां आगे बढ़ो
yeah I'm sure	हाँ मुझे यकीन है
okay sounds good	ठीक बढ़िया लगता है
okay that's fine	ठीक है, यह सही है
yeah exactly	हां, ठीक यही
that is ok	यह ठीक है
this is correct	यह सही है
ok go ahead	ठीक आगे बढ़ो
yes this is correct	हां यह सही है
nevermind its okay	कोई बात नहीं ठीक है
okey	शाबाशी
yes for sure	हां जरूर
all right	ठीक है
are you sure	क्या आपको यकीन है
are you sure right now	क्या आप अभी सुनिश्चित हैं
are you sure today	क्या आप आज निश्चित हैं
are you sure now	क्या आप अब निश्चित हैं
are you sure tonight	क्या आप आज रात सुनिश्चित हैं
why aren't you talking to me	बात क्यूँ नहीँ कर रहा
do you want to chat with me	क्या आप मेरे साथ चैट करना चाहते हैं
will you talk to me	तुम मुझ से बात करोगे
talk to me	आप मुझसे बात
are you going to talk to me	क्या आप मुझसे बात करने जा रहे हैं
are you talking to me	क्या आप मुझसे बात कर रहे हैं
can you chat with me	क्या तुम मेरे साथ चैट कर सकते हो
can you speak with me	क्या आप मुझसे बात कर सकते हैं
can you talk to me	क्या आप मुझसे बात
can you talk with me	क्या तुम मेरे से बात कर सकते हो
say	कहना
talk	बात करना
chat with me	मेरे साथ बातचीत करो
just chat with me	बस मेरे साथ चैट करें
speak to me	मुझसे बात करो
speak with me	मेरे साथ बात करो
talk with me	मेरे साथ बात करो
why don't you talk to me	तुम मुझसे बात क्यों नहीं करते
you can talk to me	आप मुझसे बात कर सकते हैं
are you there	क्या आप मौजूद हैं
you are there	आप वहाँ हैं
are you near me	क्या तुम मेरे पास हो
are you here	क्या आप यहां हैं
are you still there	क्या आप अभी भी हैं
you are here	आप यहां हैं
you still there	आप अभी भी तक वहाँ है
are you still here	क्या आप अभी भी यहीं हैं
pretty bad	बहुत बुरा
not good enough	बहुत अच्छा नहीं
that was lame	वह लंगड़ा था
that was terrible	वह भयानक था
it is bad	यह बुरा है
that's bad	यह बुरी बात है
this is bad	यह तो बुरा हुआ
not good	अच्छा नहीं है
I'm afraid it's bad	मुझे डर है कि यह खराब है
no it's bad	नहीं यह बुरा है
that was awful	वह भयानक था
bad	खराब
so bad	बहुत बुरा
this is too bad	यह बहुत बुरा है
terrible	भयानक
horrible	भयंकर
horrific	भीषण
abysmal	abysmal
it's bad	यह बुरा है
no good	अच्छा नहीं
that was bad	वह खराब था
that was horrible	वह भयानक था
that's lame	यही तो कमजोरी है
that's not good	यह अच्छा नहीं है
that's terrible	वह भयानक है
that's too bad	यह बहुत बुरा है
this is not good	यह अच्छा नहीं है
too bad	बहुत बुरा
very bad	बहुत बुरा
bad girl	गंदी लड़की
it's not good	अच्छी बात नहीँ हे
not so good	इतना अच्छा नहीं
it's very bad	यह बहुत बुरा है
it's too bad	यह बहुत बुरा है
that's not good enough	यह पर्याप्त अच्छा नहीं है
well too bad	खैर बहुत बुरा हुआ
bad very bad	बुरा बहुत बुरा
it's so bad	यह बहुत बुरा है
really bad	सच में ख़राब
it's really bad	यह वास्तव में बुरा है
bad idea	बुरा विचार
that is bad	वह बुरा है
that was not good	वह अच्छा नहीं था
it's not so good	यह इतना अच्छा नहीं है
not a good one	अच्छा नहीं
oh that's not good	अरे यह अच्छा नहीं है
not too good	बहुत अच्छा नहीं है
so lame	बहुत लंगड़ा
that's really bad	यह वास्तव में बुरा है
it is too bad	यह बहुत बुरा है
bad really bad	बुरा सच में बुरा
so cool	इतना ठंडा
cool	ठंडा
that is good	यह अच्छा है
glad to hear that	जानकर ख़ुशी हुई की
that's very nice of you	आप बहुत अच्छे हैं
terrific	कमाल का
it's amazing	यह आश्चर्यजनक है
that's awesome	वह तो कमाल है
perfect	उत्तम
excellent	उत्कृष्ट
that's great	एक दम बढ़िया
it's good	अच्छी बात है
it's great	यह बहुत अच्छा है
fine	अच्छा
good	अच्छा
nice	अच्छा
that's fine	वह ठीक है
very good	बहुत अच्छा
amazing	अद्भुत
fantastic	ज़बरदस्त
great	महान
good very good	अच्छा बहुत अच्छा
that's very good	वह बहुत अच्छा है
really good	वास्तव में अच्छा
it is fine	बस ठीक है
it is good	अछा है
it's perfect	यह एकदम सही है
much better	ज्यादा बेहतर
not bad	इतना खराब भी नहीं
not too bad	इतना बुरा भी नहीं
it's very good	यह बहुत अच्छा है
marvelous	अद्भुत
that's nice	यह अच्छा है
pleasant	सुखद
pretty good	बहुत अच्छा
really nice	वास्तव में प्यारा
splendid	उत्कृष्ट
straight	सीधा
super	बहुत अच्छा
super fantastic	सुपर शानदार
sweet	मिठाई
really well	वास्तव में अच्छी तरह से
very well	अचे से
that is awesome	यह बहुत अच्छा है
that is nice	यह अच्छा है
that is wonderful	वो अद्भुत है
that was amazing	वह अद्भुत था
that was awesome	यह भयानक था
that was cute	वो प्यारा था
that was pretty good	वह बहुत अच्छा था
that was very good	वह बहुत अच्छा था
that's a good idea	वह एक अच्छा विचार है
that's a good thing	यह तो अच्छी बात है
that's amazing	वह आश्चर्यजनक है
that's awesome thank you	यह बहुत अच्छा है धन्यवाद
that's better	वह बेहतर है
that's cute	वह प्यारा है
that's fantastic	यह बढ़िया है
that's much better	यह ज़्यादा बेहतर है
that's nice of you	वह आप का अच्छा गुण है
that's not bad	बुरा नहीं है
that's perfect	यह एकदम सही है
that's pretty good	वह बहुत बढिया है
that's really good	वो बहुत अच्छा है
that's really nice	यह वाकई बहुत अच्छा है
that's sweet of you	आप कितने अच्छे हैं
